Invoice_No,Payment_Value,Payment_Date,DSO_Days
INV000001,136633.44,2025-07-24,0
INV000002,322620.55,2025-07-09,0
INV000003,59263.61,2025-07-03,0
INV000004,64907.06,2025-08-15,45
INV000005,305338.49,2025-07-15,0
INV000006,309058.93,2025-07-21,0
INV000007,358472.32,2025-07-05,0
INV000008,108350.2,2025-07-17,0
INV000009,139332.05,2025-08-02,15
INV000010,1476004.46,2025-07-21,0
INV000011,892851.95,2025-07-05,0
INV000012,1118095.43,2025-07-03,0
INV000013,641934.56,2025-07-17,0
INV000014,1475808.27,2025-07-20,15
INV000015,1097911.8,2025-07-22,15
INV000016,1087445.53,2025-07-05,0
INV000017,1289613.95,2025-08-15,45
INV000018,786630.63,2025-07-10,0
INV000019,860993.92,2025-07-24,0
INV000020,540310.22,2025-07-11,0
INV000021,223619.67,2025-08-23,30
INV000022,746586.52,2025-07-06,0
INV000023,783564.09,2025-07-10,0
INV000024,589750.41,2025-07-12,0
INV000025,421099.43,2025-07-09,0
INV000026,336113.15,2025-07-26,0
INV000027,196140.24,2025-08-16,45
INV000028,503763.64,2025-07-02,0
INV000029,301209.14,2025-08-23,45
INV000030,394715.34,2025-09-24,60
INV000031,482763.49,2025-08-02,30
INV000032,143396.43,2025-07-15,0
INV000033,263033.46,2025-07-11,0
INV000034,119958.3,2025-07-11,0
INV000035,257710.05,2025-07-05,0
INV000036,481056.69,2025-08-19,30
INV000037,541570.56,2025-08-04,30
INV000038,314501.37,2025-07-10,0
INV000039,255332.92,2025-09-09,45
INV000040,168394.56,2025-08-19,45
INV000041,386892.31,2025-07-23,0
INV000042,459354.34,2025-07-21,0
INV000043,355842.96,2025-07-02,0
INV000044,790552.81,2025-07-06,0
INV000045,313773.97,2025-07-22,0
INV000046,386058.23,2025-07-18,0
INV000047,592449.16,2025-07-17,0
INV000048,578766.49,2025-07-05,0
INV000049,652455.38,2025-08-05,15
INV000050,357210.09,2025-07-26,0
INV000051,473095.68,2025-07-06,0
INV000052,176041.08,2025-07-04,0
INV000053,297176.49,2025-07-01,0
INV000054,484820.33,2025-07-21,0
INV000055,625655.94,2025-07-19,0
INV000056,470424.16,2025-07-02,0
INV000057,341073.75,2025-10-09,90
INV000058,380463.43,2025-07-09,0
INV000059,472714.36,2025-07-14,0
INV000060,512279.83,2025-09-25,60
INV000061,169868.84,2025-07-09,0
INV000062,168066.39,2025-07-12,0
INV000063,224812.53,2025-07-22,15
INV000064,235528.3,2025-07-19,15
INV000065,357867.89,2025-08-02,15
INV000066,188685.15,2025-07-22,0
INV000067,144661.51,2025-07-07,0
INV000068,522973.59,2025-07-18,0
INV000069,504241.16,2025-07-05,0
INV000070,226956.07,2025-08-18,30
INV000071,1252520.95,2025-07-21,0
INV000072,317647.1,2025-07-08,0
INV000073,702029.95,2025-07-16,15
INV000074,430574.86,2025-08-07,30
INV000075,329883.27,2025-07-23,0
INV000076,804297.71,2025-07-09,0
INV000077,1083896.7,2025-07-06,0
INV000078,1263340.27,2025-07-24,0
INV000079,704306.79,2025-07-13,0
INV000080,473356.81,2025-07-07,0
INV000081,1163772.24,2025-07-30,15
INV000082,578774.57,2025-07-08,0
INV000083,426044.21,2025-07-13,0
INV000084,177387.75,2025-07-17,15
INV000085,1033051.94,2025-08-22,30
INV000086,753226.84,2025-07-06,0
INV000087,360182.56,2025-07-03,0
INV000088,510813.57,2025-07-09,0
INV000089,386617.02,2025-07-19,0
INV000090,56247.85,2025-07-18,15
INV000091,37538.77,2025-07-27,0
INV000092,160293.93,2025-08-23,45
INV000093,111174.76,2025-07-27,0
INV000094,895972.56,2025-07-03,0
INV000095,752711.49,2025-07-20,0
INV000096,653700.71,2025-07-13,0
INV000097,420813.3,2025-07-09,0
INV000098,347937.96,2025-07-11,0
INV000099,1002470.26,2025-07-27,0
INV000100,669975.75,2025-10-09,90
INV000101,852537.77,2025-07-01,0
INV000102,947284.16,2025-07-27,0
INV000103,323086.16,2025-07-08,0
INV000104,1048823.02,2025-08-10,15
INV000105,265675.2,2025-08-10,30
INV000106,712866.78,2025-07-04,0
INV000107,953395.67,2025-08-06,15
INV000108,680970.3,2025-07-16,0
INV000109,71042.5,2025-07-26,0
INV000110,208076.2,2025-07-21,15
INV000111,444364.91,2025-07-27,0
INV000112,229266.98,2025-07-12,0
INV000113,47486.91,2025-09-13,60
INV000114,300843.7,2025-09-24,60
INV000115,944019.0,2025-07-25,0
INV000116,598906.92,2025-07-21,15
INV000117,1186380.65,2025-07-24,0
INV000118,372351.89,2025-07-11,0
INV000119,818730.71,2025-10-25,90
INV000120,678683.07,2025-07-31,15
INV000121,955496.69,2025-07-26,0
INV000122,513042.93,2025-07-24,0
INV000123,392574.08,2025-07-02,0
INV000124,868568.6,2025-07-14,0
INV000125,253437.81,2025-07-11,0
INV000126,363264.79,2025-08-10,30
INV000127,402414.61,2025-07-21,0
INV000128,181884.03,2025-08-10,15
INV000129,301331.38,2025-07-14,0
INV000130,387618.17,2025-07-02,0
INV000131,294052.4,2025-09-03,45
INV000132,478340.37,2025-07-18,0
INV000133,259629.58,2025-08-25,30
INV000134,499887.22,2025-07-12,0
INV000135,93774.92,2025-07-19,15
INV000136,48671.6,2025-09-06,60
INV000137,288195.7,2025-07-15,0
INV000138,158543.95,2025-07-07,0
INV000139,227233.15,2025-07-15,0
INV000140,268552.35,2025-07-08,0
INV000141,155170.46,2025-07-05,0
INV000142,797731.54,2025-07-04,0
INV000143,1490895.75,2025-07-16,15
INV000144,1206541.78,2025-08-01,15
INV000145,238396.98,2025-07-14,0
INV000146,1305980.54,2025-07-15,0
INV000147,1599121.29,2025-07-20,15
INV000148,1001814.06,2025-07-08,0
INV000149,426236.15,2025-08-01,15
INV000150,1098101.95,2025-07-23,0
INV000151,1426658.85,2025-07-27,0
INV000152,1505745.06,2025-07-08,0
INV000153,428809.44,2025-08-05,15
INV000154,886128.18,2025-08-24,30
INV000155,444384.96,2025-07-03,0
INV000156,476290.57,2025-07-15,0
INV000157,476801.64,2025-07-27,0
INV000158,707742.6,2025-07-04,0
INV000159,330519.78,2025-09-11,60
INV000160,330930.57,2025-07-31,30
INV000161,765719.37,2025-08-06,30
INV000162,769101.5,2025-07-17,0
INV000163,177362.93,2025-07-07,0
INV000164,499941.41,2025-07-22,0
INV000165,429558.93,2025-07-17,0
INV000166,297661.78,2025-07-07,0
INV000167,502209.81,2025-07-08,0
INV000168,848318.09,2025-07-05,0
INV000169,423963.95,2025-09-01,45
INV000170,330709.0,2025-07-17,0
INV000171,593932.66,2025-10-07,90
INV000172,142755.37,2025-07-09,0
INV000173,363324.39,2025-07-02,0
INV000174,152983.69,2025-07-15,0
INV000175,289112.5,2025-08-23,30
INV000176,145232.52,2025-07-18,15
INV000177,382606.41,2025-07-01,0
INV000178,506229.16,2025-07-10,0
INV000179,249526.55,2025-08-03,30
INV000180,737008.43,2025-07-02,0
INV000181,650567.92,2025-07-24,15
INV000182,396829.57,2025-07-20,0
INV000183,276986.61,2025-07-22,0
INV000184,694626.86,2025-08-18,30
INV000185,539605.45,2025-07-27,0
INV000186,290691.3,2025-07-24,15
INV000187,82620.62,2025-09-02,45
INV000188,234692.2,2025-08-07,15
INV000189,253363.85,2025-07-21,0
INV000190,243937.56,2025-08-18,45
INV000191,426249.94,2025-07-29,15
INV000192,83213.98,2025-08-30,45
INV000193,321378.3,2025-09-19,60
INV000194,660399.4,2025-07-17,0
INV000195,1472620.54,2025-08-13,30
INV000196,466278.09,2025-07-22,15
INV000197,1570329.56,2025-07-20,0
INV000198,731800.17,2025-09-04,60
INV000199,1624044.53,2025-07-26,0
INV000200,1002545.89,2025-07-15,0
INV000201,636663.13,2025-07-27,15
INV000202,525515.35,2025-07-13,0
INV000203,447720.38,2025-07-19,0
INV000204,247050.14,2025-07-16,0
INV000205,865511.97,2025-07-02,0
INV000206,661285.5,2025-08-21,30
INV000207,1037320.84,2025-08-01,15
INV000208,363286.16,2025-07-14,0
INV000209,791583.32,2025-07-27,15
INV000210,264528.72,2025-07-19,0
INV000211,555977.55,2025-07-07,0
INV000212,337598.25,2025-07-09,0
INV000213,287929.65,2025-07-06,0
INV000214,185571.52,2025-07-23,0
INV000215,195571.8,2025-08-19,45
INV000216,112195.97,2025-08-13,30
INV000217,92984.29,2025-07-15,0
INV000218,124769.39,2025-08-23,30
INV000219,102691.91,2025-07-15,0
INV000220,121284.13,2025-07-19,0
INV000221,119435.3,2025-08-08,30
INV000222,206330.58,2025-07-26,0
INV000223,66902.27,2025-07-15,0
INV000224,560496.22,2025-07-19,0
INV000225,222374.94,2025-08-02,15
INV000226,843954.52,2025-07-21,15
INV000227,426735.85,2025-08-13,30
INV000228,159981.7,2025-07-25,0
INV000229,904742.82,2025-08-02,15
INV000230,1075952.69,2025-07-10,0
INV000231,593750.99,2025-07-31,30
INV000232,388797.37,2025-07-26,0
INV000233,613560.54,2025-07-24,0
INV000234,420488.34,2025-07-13,0
INV000235,322575.07,2025-07-11,0
INV000236,298262.7,2025-07-11,0
INV000237,185181.1,2025-07-13,0
INV000238,175552.86,2025-07-15,0
INV000239,98478.24,2025-07-21,0
INV000240,299685.48,2025-07-30,15
INV000241,109404.22,2025-08-14,30
INV000242,47602.78,2025-07-25,15
INV000243,682255.99,2025-07-25,15
INV000244,495307.35,2025-07-01,0
INV000245,661809.26,2025-07-17,15
INV000246,780122.93,2025-08-09,15
INV000247,333516.44,2025-07-01,0
INV000248,1222566.74,2025-07-01,0
INV000249,90956.76,2025-08-26,45
INV000250,494572.55,2025-08-09,15
INV000251,257405.28,2025-07-14,0
INV000252,330046.64,2025-07-27,0
INV000253,376014.37,2025-09-20,60
INV000254,436852.95,2025-07-05,0
INV000255,410914.76,2025-07-16,0
INV000256,292132.13,2025-08-25,45
INV000257,101746.2,2025-09-12,60
INV000258,380602.1,2025-07-03,0
INV000259,72172.89,2025-07-18,0
INV000260,181591.02,2025-07-10,0
INV000261,251787.82,2025-07-17,15
INV000262,1531940.27,2025-07-14,0
INV000263,866284.25,2025-07-10,0
INV000264,709775.07,2025-07-09,0
INV000265,891791.58,2025-07-10,0
INV000266,896373.7,2025-07-10,0
INV000267,1422378.69,2025-09-02,45
INV000268,1222198.98,2025-07-23,0
INV000269,827812.64,2025-07-03,0
INV000270,684353.51,2025-07-24,0
INV000271,340426.55,2025-07-20,0
INV000272,986139.64,2025-07-08,0
INV000273,172386.43,2025-07-25,0
INV000274,789047.66,2025-07-26,0
INV000275,545336.41,2025-09-16,60
INV000276,329679.12,2025-07-18,15
INV000277,817200.83,2025-08-22,30
INV000278,230916.72,2025-08-10,30
INV000279,309635.32,2025-07-14,0
INV000280,343529.33,2025-07-16,0
INV000281,84020.49,2025-07-05,0
INV000282,403557.32,2025-07-24,15
INV000283,154646.28,2025-07-24,0
INV000284,257215.14,2025-07-16,0
INV000285,522087.96,2025-07-23,0
INV000286,402446.92,2025-07-15,0
INV000287,204530.06,2025-07-31,15
INV000288,244546.25,2025-08-07,15
INV000289,770889.79,2025-07-03,0
INV000290,341029.82,2025-07-21,0
INV000291,188868.54,2025-08-01,15
INV000292,676561.87,2025-07-21,0
INV000293,328415.15,2025-07-25,0
INV000294,412069.36,2025-07-15,0
INV000295,150213.59,2025-08-18,45
INV000296,93406.56,2025-09-06,60
INV000297,439208.25,2025-07-20,0
INV000298,375144.46,2025-08-10,30
INV000299,398739.0,2025-07-06,0
INV000300,417728.44,2025-07-17,0
INV000301,437416.61,2025-07-22,0
INV000302,398159.22,2025-07-09,0
INV000303,493266.65,2025-07-06,0
INV000304,360901.68,2025-07-10,0
INV000305,171322.46,2025-07-02,0
INV000306,199038.7,2025-07-03,0
INV000307,108398.24,2025-07-06,0
INV000308,421308.34,2025-09-08,45
INV000309,283091.87,2025-07-21,0
INV000310,83770.29,2025-07-08,0
INV000311,249186.95,2025-07-07,0
INV000312,123578.71,2025-07-23,0
INV000313,300548.35,2025-07-08,0
INV000314,444470.04,2025-07-25,0
INV000315,349579.22,2025-09-08,45
INV000316,64131.96,2025-07-11,0
INV000317,625716.34,2025-07-30,15
INV000318,877357.8,2025-07-21,0
INV000319,226465.39,2025-07-19,0
INV000320,1038915.93,2025-07-19,0
INV000321,734960.13,2025-08-17,30
INV000322,683559.34,2025-07-23,0
INV000323,1049290.0,2025-07-10,0
INV000324,558238.74,2025-07-31,30
INV000325,865242.15,2025-08-08,15
INV000326,257252.78,2025-07-25,0
INV000327,596890.84,2025-10-12,90
INV000328,374292.63,2025-07-17,0
INV000329,96774.75,2025-07-21,0
INV000330,240376.79,2025-08-24,45
INV000331,93768.91,2025-09-14,60
INV000332,55229.6,2025-07-15,0
INV000333,151645.87,2025-07-27,15
INV000334,221479.63,2025-08-07,30
INV000335,813826.74,2025-08-19,45
INV000336,591320.45,2025-07-21,0
