Invoice_No,Date,Employee_ID,Customer_ID,Product_ID,Revenue,Margin,Discount_Pct,Invoice_Value,Month,Year,Quarter,Region,Division,Employee_Name,Designation,Performance_Tier,Customer_Name,Segment,Industry,Customer_Tier,Product_Name,Product_Division,Base_Margin_Pct,Unit_Count,Unit_Label
INV000001,2025-07-24,EMP001,CUST0096,PRD002,189752.33,22313.02,1.47,189370.23,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 96,VIP,Manufacturing,Healthy,International Express,Express,12.2,564,Parcels
INV000002,2025-07-09,EMP001,CUST0123,PRD003,442428.21,58806.3,0.69,440692.54,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 123,Growth,Pharma,Healthy,Same-Day,Express,13.5,1315,Parcels
INV000003,2025-07-03,EMP001,CUST0035,PRD001,75398.07,7980.25,1.05,78555.92,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 35,VIP,Healthcare,Healthy,Domestic Express,Express,10.9,368,Parcels
INV000004,2025-07-01,EMP001,CUST0002,PRD004,101690.69,13124.02,2.98,99063.4,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,Amazon Seller Services,Growth,E-commerce,Healthy,COD Services,Express,13.8,418,Parcels
INV000005,2025-07-15,EMP001,CUST0042,PRD003,408781.02,54549.01,0.52,423226.09,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 42,VIP,FMCG,Healthy,Same-Day,Express,13.5,1229,Parcels
INV000006,2025-07-21,EMP001,CUST0112,PRD004,411298.33,54887.29,1.52,428523.24,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 112,Growth,FMCG,Healthy,COD Services,Express,13.8,1345,Parcels
INV000007,2025-07-05,EMP001,CUST0175,PRD003,464983.83,60058.04,1.95,479545.24,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 175,Growth,Textile,Healthy,Same-Day,Express,13.5,2584,Parcels
INV000008,2025-07-17,EMP001,CUST0058,PRD001,145636.6,14932.37,2.16,142980.71,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 58,Growth,Textile,Healthy,Domestic Express,Express,10.9,433,Parcels
INV000009,2025-07-18,EMP001,CUST0156,PRD001,199723.21,21424.63,0.58,193042.23,Jul,2025,Q3,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 156,Standard,Manufacturing,Healthy,Domestic Express,Express,10.9,621,Parcels
INV000010,2025-07-21,EMP002,CUST0149,PRD006,1540619.02,199316.09,2.88,1483003.92,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 149,Growth,Electronics,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV000011,2025-07-05,EMP002,CUST0026,PRD005,979760.43,104441.19,4.47,931165.06,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,Swiggy Instamart,VIP,Healthcare,Healthy,Air Freight,Freight Forward,12.0,2,Shipments
INV000012,2025-07-03,EMP002,CUST0100,PRD008,1093105.63,127868.3,1.01,1136534.96,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 100,VIP,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000013,2025-07-17,EMP002,CUST0159,PRD005,636695.61,75062.44,0.7,642716.68,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 159,Standard,Textile,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV000014,2025-07-05,EMP002,CUST0062,PRD007,1461816.67,374637.41,0.57,1475808.27,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 62,Standard,Healthcare,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV000015,2025-07-07,EMP002,CUST0042,PRD008,1131399.18,126555.49,2.71,1119651.46,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 42,VIP,FMCG,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000016,2025-07-05,EMP002,CUST0096,PRD007,1067166.04,264015.74,3.53,1118754.66,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 96,VIP,Manufacturing,Healthy,Customs Clearance,Freight Forward,25.8,2,Shipments
INV000017,2025-07-01,EMP002,CUST0076,PRD008,1402882.1,157483.67,2.58,1389970.17,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 76,VIP,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000018,2025-07-10,EMP002,CUST0139,PRD008,815214.15,89925.48,3.23,786630.63,Jul,2025,Q3,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 139,VIP,FMCG,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV000019,2025-07-24,EMP003,CUST0166,PRD012,899762.13,166414.81,1.35,897044.93,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 166,VIP,FMCG,Healthy,E-commerce Fulfillment,Logistics,18.9,34,Shipments
INV000020,2025-07-11,EMP003,CUST0133,PRD011,572952.75,93161.78,3.47,586195.75,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 133,Growth,Healthcare,Healthy,Cold Chain,Logistics,17.3,16,Shipments
INV000021,2025-07-24,EMP003,CUST0171,PRD011,232229.45,37308.2,4.12,240719.12,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 171,Growth,FMCG,Healthy,Cold Chain,Logistics,17.3,10,Shipments
INV000022,2025-07-06,EMP003,CUST0144,PRD009,760151.02,151439.05,0.59,796579.33,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 144,Standard,FMCG,Healthy,Warehousing,Logistics,20.1,16,Shipments
INV000023,2025-07-10,EMP003,CUST0145,PRD011,879097.81,146602.26,2.08,863197.79,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 145,Growth,Textile,Healthy,Cold Chain,Logistics,17.3,40,Shipments
INV000024,2025-07-12,EMP003,CUST0110,PRD010,642976.49,119127.74,4.24,640895.83,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 110,Growth,Electronics,Healthy,Last-Mile,Logistics,19.8,20,Shipments
INV000025,2025-07-09,EMP003,CUST0061,PRD010,471403.99,91889.22,1.02,455511.62,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 61,Standard,FMCG,Healthy,Last-Mile,Logistics,19.8,20,Shipments
INV000026,2025-07-26,EMP003,CUST0124,PRD009,347054.33,68825.35,0.9,355852.32,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 124,Growth,Auto,Healthy,Warehousing,Logistics,20.1,12,Shipments
INV000027,2025-07-02,EMP003,CUST0187,PRD010,312760.41,55425.37,6.93,313448.87,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,Metro Auto Parts,Risk,Manufacturing,Focus,Last-Mile,Logistics,19.8,10,Shipments
INV000028,2025-07-02,EMP003,CUST0085,PRD009,543599.84,102190.26,4.34,551890.79,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 85,Standard,FMCG,Healthy,Warehousing,Logistics,20.1,38,Shipments
INV000029,2025-07-09,EMP003,CUST0160,PRD009,354357.45,69440.85,1.68,363740.96,Jul,2025,Q3,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 160,Growth,E-commerce,Healthy,Warehousing,Logistics,20.1,22,Shipments
INV000030,2025-07-26,EMP004,CUST0193,PRD004,533323.42,63424.24,6.36,514006.11,Jul,2025,Q3,West,Express,Rep 4,VP Sales,Healthy,OmniTech Distribution,Risk,Auto,Focus,COD Services,Express,13.8,3131,Parcels
